ImageNumber,Image_Metadata_GeneID,Image_Metadata_Plate,Image_Metadata_Well,Signal
1,neg,P01,B02,588
2,DBP,P01,B03,1313
3,ATM,P01,B04,1240
4,HNRNPD,P01,B05,1053
5,DR1,P01,B06,1043
6,ATF4,P01,B07,910
7,DNM2,P01,B08,1100
8,BACH1,P01,B09,915
9,Ebf1,P01,B10,1018
10,ATF3,P01,B11,1467
11,Pos,P01,C02,2122
12,ATRX,P01,C03,1121
13,DNM2,P01,C04,1110
14,ATF4,P01,C05,1074
15,DNMT1,P01,C06,1077
16,DDIT3,P01,C07,1607
17,DBP,P01,C08,989
18,ATRX,P01,C09,889
19,RERE,P01,C10,819
20,neg,P01,C11,872
21,neg,P01,D02,1428
22,DNMT1,P01,D03,1242
23,DR1,P01,D04,1071
24,ATF1,P01,D05,782
25,neg,P01,D06,947
26,BACH1,P01,D07,985
27,DDX5,P01,D08,890
28,ARNT,P01,D09,740
29,HNRNPD,P01,D10,673
30,ATP6V0A1,P01,D11,833
31,Pos,P01,E02,1925
32,DDIT3,P01,E03,1802
33,ATM,P01,E04,1096
34,Ebf1,P01,E05,1127
35,ARNT,P01,E06,867
36,DBP,P01,E07,1012
37,ATP6V0A1,P01,E08,971
38,DR1,P01,E09,798
39,DNMT1,P01,E10,978
40,ATF1,P01,E11,674
41,neg,P01,F02,1352
42,DNM2,P01,F03,1270
43,BACH1,P01,F04,1065
44,ATF3,P01,F05,1513
45,RERE,P01,F06,1076
46,ATRX,P01,F07,810
47,ATM,P01,F08,956
48,neg,P01,F09,794
49,DDX5,P01,F10,767
50,RERE,P01,F11,856
51,Pos,P01,G02,2041
52,ATF1,P01,G03,977
53,DDX5,P01,G04,1044
54,ARNT,P01,G05,869
55,ATP6V0A1,P01,G06,1028
56,HNRNPD,P01,G07,882
57,Ebf1,P01,G08,970
58,ATF4,P01,G09,753
59,ATF3,P01,G10,1262
60,DDIT3,P01,G11,1482
61,neg,P02,B02,829
62,ARID3A,P02,B03,860
63,DTX1,P02,B04,1131
64,HOXA5,P02,B05,961
65,FOSL2,P02,B06,886
66,BGLAP,P02,B07,899
67,HOXA7,P02,B08,932
68,HOXB2,P02,B09,750
69,Ebf1,P02,B10,937
70,TSC22D3,P02,B11,36
71,Pos,P02,C02,1480
72,FOS,P02,C03,920
73,HOXA7,P02,C04,684
74,BGLAP,P02,C05,963
75,HOXA9,P02,C06,723
76,BCL3,P02,C07,1430
77,ARID3A,P02,C08,793
78,FOS,P02,C09,980
79,FOXO1,P02,C10,858
80,neg,P02,C11,923
81,neg,P02,D02,743
82,HOXA9,P02,D03,902
83,FOSL2,P02,D04,919
84,BCL6,P02,D05,1195
85,neg,P02,D06,842
86,HOXB2,P02,D07,845
87,RCAN1,P02,D08,820
88,ATN1,P02,D09,636
89,HOXA5,P02,D10,669
90,FOXO3,P02,D11,941
91,Pos,P02,E02,1436
92,BCL3,P02,E03,1166
93,DTX1,P02,E04,990
94,Ebf1,P02,E05,1109
95,ATN1,P02,E06,805
96,ARID3A,P02,E07,882
97,FOXO3,P02,E08,975
98,FOSL2,P02,E09,793
99,HOXA9,P02,E10,622
100,BCL6,P02,E11,1230
101,neg,P02,F02,941
102,HOXA7,P02,F03,677
103,HOXB2,P02,F04,835
104,TSC22D3,P02,F05,822
105,FOXO1,P02,F06,778
106,FOS,P02,F07,957
107,DTX1,P02,F08,906
108,neg,P02,F09,743
109,RCAN1,P02,F10,778
110,FOXO1,P02,F11,1068
111,Pos,P02,G02,1615
112,BCL6,P02,G03,1030
113,RCAN1,P02,G04,912
114,ATN1,P02,G05,742
115,FOXO3,P02,G06,990
116,HOXA5,P02,G07,902
117,Ebf1,P02,G08,1075
118,BGLAP,P02,G09,885
119,TSC22D3,P02,G10,990
120,BCL3,P02,G11,22
121,neg,P03,B02,1084
122,BMI1,P03,B03,882
123,FUS,P03,B04,1087
124,GABPA,P03,B05,745
125,HOXC8,P03,B06,802
126,ZFP36L2,P03,B07,975
127,HOXB7,P03,B08,671
128,KLF9,P03,B09,1035
129,Ebf1,P03,B10,969
130,EGR1,P03,B11,961
131,Pos,P03,C02,1738
132,HOXC6,P03,C03,646
133,HOXB7,P03,C04,769
134,ZFP36L2,P03,C05,1080
135,HOXC5,P03,C06,1224
136,E4F1,P03,C07,716
137,BMI1,P03,C08,866
138,HOXC6,P03,C09,622
139,HOXB6,P03,C10,751
140,neg,P03,C11,833
141,neg,P03,D02,810
142,HOXC5,P03,D03,1065
143,HOXC8,P03,D04,700
144,ZFP36L1,P03,D05,1078
145,neg,P03,D06,741
146,KLF9,P03,D07,1035
147,EBF1,P03,D08,1076
148,POLR3D,P03,D09,870
149,GABPA,P03,D10,545
150,HOXC4,P03,D11,811
151,Pos,P03,E02,1594
152,E4F1,P03,E03,661
153,FUS,P03,E04,784
154,Ebf1,P03,E05,1061
155,POLR3D,P03,E06,1008
156,BMI1,P03,E07,870
157,HOXC4,P03,E08,865
158,HOXC8,P03,E09,674
159,HOXC5,P03,E10,967
160,ZFP36L1,P03,E11,1154
161,neg,P03,F02,1007
162,HOXB7,P03,F03,775
163,KLF9,P03,F04,930
164,EGR1,P03,F05,856
165,HOXB6,P03,F06,748
166,HOXC6,P03,F07,676
167,FUS,P03,F08,771
168,neg,P03,F09,648
169,EBF1,P03,F10,515
170,HOXB6,P03,F11,665
171,Pos,P03,G02,87
172,ZFP36L1,P03,G03,1161
173,EBF1,P03,G04,1043
174,POLR3D,P03,G05,885
175,HOXC4,P03,G06,833
176,GABPA,P03,G07,582
177,Ebf1,P03,G08,792
178,ZFP36L2,P03,G09,902
179,EGR1,P03,G10,650
180,E4F1,P03,G11,691
181,neg,P04,B02,97
182,BTF3,P04,B03,1682
183,GCDH,P04,B04,845
184,HOXC9,P04,B05,1227
185,CCNH,P04,B06,806
186,ELK3,P04,B07,991
187,HOXC10,P04,B08,1144
188,ENO1,P04,B09,696
189,Ebf1,P04,B10,1039
190,ELK1,P04,B11,1060
191,Pos,P04,C02,1761
192,EN1,P04,C03,985
193,HOXC10,P04,C04,889
194,ELK3,P04,C05,1004
195,NR3C1,P04,C06,874
196,BTG1,P04,C07,696
197,BTF3,P04,C08,1285
198,EN1,P04,C09,806
199,KAT2A,P04,C10,630
200,neg,P04,C11,729
201,neg,P04,D02,879
202,NR3C1,P04,D03,774
203,CCNH,P04,D04,915
204,RUNX1,P04,D05,782
205,neg,P04,D06,811
206,ENO1,P04,D07,723
207,CALR,P04,D08,770
208,ELF1,P04,D09,861
209,HOXC9,P04,D10,1002
210,GLI3,P04,D11,789
211,Pos,P04,E02,1623
212,BTG1,P04,E03,677
213,GCDH,P04,E04,772
214,Ebf1,P04,E05,894
215,ELF1,P04,E06,1104
216,BTF3,P04,E07,1230
217,GLI3,P04,E08,769
218,CCNH,P04,E09,672
219,NR3C1,P04,E10,702
220,RUNX1,P04,E11,728
221,neg,P04,F02,900
222,HOXC10,P04,F03,891
223,ENO1,P04,F04,833
224,ELK1,P04,F05,1116
225,KAT2A,P04,F06,683
226,EN1,P04,F07,810
227,GCDH,P04,F08,708
228,neg,P04,F09,517
229,CALR,P04,F10,640
230,KAT2A,P04,F11,648
231,Pos,P04,G02,1904
232,RUNX1,P04,G03,742
233,CALR,P04,G04,761
234,ELF1,P04,G05,893
235,GLI3,P04,G06,842
236,HOXC9,P04,G07,1241
237,Ebf1,P04,G08,840
238,ELK3,P04,G09,816
239,ELK1,P04,G10,974
240,BTG1,P04,G11,741
241,neg,P05,B02,73
242,CCNT1,P05,B03,1091
243,GTF2A1,P05,B04,1259
244,GTF2A2,P05,B05,841
245,GTF2F2,P05,B06,869
246,ERCC6,P05,B07,665
247,GTF2E2,P05,B08,892
248,HSF1,P05,B09,849
249,Ebf1,P05,B10,908
250,CDK7,P05,B11,1035
251,Pos,P05,C02,1462
252,HSBP1,P05,C03,838
253,GTF2E2,P05,C04,840
254,ERCC6,P05,C05,714
255,GTF2F1,P05,C06,806
256,CCNT2,P05,C07,1046
257,CCNT1,P05,C08,811
258,HSBP1,P05,C09,789
259,GTF2B,P05,C10,672
260,neg,P05,C11,839
261,neg,P05,D02,887
262,GTF2F1,P05,D03,990
263,GTF2F2,P05,D04,767
264,NR2F6,P05,D05,1035
265,neg,P05,D06,814
266,HSF1,P05,D07,902
267,EPAS1,P05,D08,857
268,EP300,P05,D09,774
269,GTF2A2,P05,D10,585
270,HES1,P05,D11,712
271,Pos,P05,E02,1477
272,CCNT2,P05,E03,857
273,GTF2A1,P05,E04,1389
274,Ebf1,P05,E05,1043
275,EP300,P05,E06,1137
276,CCNT1,P05,E07,834
277,HES1,P05,E08,562
278,GTF2F2,P05,E09,731
279,GTF2F1,P05,E10,706
280,NR2F6,P05,E11,788
281,neg,P05,F02,934
282,GTF2E2,P05,F03,716
283,HSF1,P05,F04,884
284,CDK7,P05,F05,990
285,GTF2B,P05,F06,718
286,HSBP1,P05,F07,814
287,GTF2A1,P05,F08,1139
288,neg,P05,F09,636
289,EPAS1,P05,F10,823
290,GTF2B,P05,F11,727
291,Pos,P05,G02,1654
292,NR2F6,P05,G03,976
293,EPAS1,P05,G04,938
294,EP300,P05,G05,632
295,HES1,P05,G06,794
296,GTF2A2,P05,G07,670
297,Ebf1,P05,G08,764
298,ERCC6,P05,G09,516
299,CDK7,P05,G10,806
300,CCNT2,P05,G11,1018
301,neg,P06,B02,1485
302,GTF2H1,P06,B03,1421
303,ETS1,P06,B04,1022
304,CEBPB,P06,B05,1183
305,IRF8,P06,B06,911
306,CEBPA,P06,B07,1295
307,CEBPD,P06,B08,871
308,GTF3A,P06,B09,771
309,Ebf1,P06,B10,1131
310,ESRRA,P06,B11,1250
311,Pos,P06,C02,1794
312,GTF2I,P06,C03,1011
313,CEBPD,P06,C04,797
314,CEBPA,P06,C05,1452
315,GTF2H4,P06,C06,980
316,FOXN2,P06,C07,973
317,GTF2H1,P06,C08,1263
318,GTF2I,P06,C09,1077
319,ETS2,P06,C10,979
320,neg,P06,C11,959
321,neg,P06,D02,1071
322,GTF2H4,P06,D03,1078
323,IRF8,P06,D04,979
324,CDKN2C,P06,D05,1018
325,neg,P06,D06,961
326,GTF3A,P06,D07,946
327,CDKN2B,P06,D08,974
328,GTF2H3,P06,D09,1173
329,CEBPB,P06,D10,973
330,ETV3,P06,D11,798
331,Pos,P06,E02,1974
332,FOXN2,P06,E03,844
333,ETS1,P06,E04,817
334,Ebf1,P06,E05,1120
335,GTF2H3,P06,E06,1425
336,GTF2H1,P06,E07,1151
337,ETV3,P06,E08,785
338,IRF8,P06,E09,945
339,GTF2H4,P06,E10,1062
340,CDKN2C,P06,E11,1168
341,neg,P06,F02,1249
342,CEBPD,P06,F03,845
343,GTF3A,P06,F04,907
344,ESRRA,P06,F05,1115
345,ETS2,P06,F06,1148
346,GTF2I,P06,F07,984
347,ETS1,P06,F08,691
348,neg,P06,F09,840
349,CDKN2B,P06,F10,855
350,ETS2,P06,F11,1093
351,Pos,P06,G02,2028
352,CDKN2C,P06,G03,1057
353,CDKN2B,P06,G04,1076
354,GTF2H3,P06,G05,1161
355,ETV3,P06,G06,675
356,CEBPB,P06,G07,1109
357,Ebf1,P06,G08,1028
358,CEBPA,P06,G09,1334
359,ESRRA,P06,G10,1018
360,FOXN2,P06,G11,1038
361,neg,P07,B02,813
362,ID2,P07,B03,915
363,HCLS1,P07,B04,808
364,HTT,P07,B05,826
365,FOXN3,P07,B06,1044
366,IFI16,P07,B07,1014
367,HDAC1,P07,B08,609
368,ETV6,P07,B09,778
369,Ebf1,P07,B10,979
370,HCFC1,P07,B11,1041
371,Pos,P07,C02,1546
372,CHD4,P07,C03,665
373,HDAC1,P07,C04,682
374,IFI16,P07,C05,1054
375,CEBPG,P07,C06,961
376,ID3,P07,C07,641
377,ID2,P07,C08,984
378,CHD4,P07,C09,776
379,RBPJ,P07,C10,904
380,neg,P07,C11,943
381,neg,P07,D02,907
382,CEBPG,P07,D03,962
383,FOXN3,P07,D04,1277
384,ID4,P07,D05,879
385,neg,P07,D06,959
386,ETV6,P07,D07,778
387,GTF3C2,P07,D08,942
388,GTF3C1,P07,D09,1089
389,HTT,P07,D10,658
390,IKBKB,P07,D11,732
391,Pos,P07,E02,1420
392,ID3,P07,E03,618
393,HCLS1,P07,E04,836
394,Ebf1,P07,E05,1037
395,GTF3C1,P07,E06,1241
396,ID2,P07,E07,1064
397,IKBKB,P07,E08,668
398,FOXN3,P07,E09,1178
399,CEBPG,P07,E10,1130
400,ID4,P07,E11,841
401,neg,P07,F02,1036
402,HDAC1,P07,F03,829
403,ETV6,P07,F04,943
404,HCFC1,P07,F05,970
405,RBPJ,P07,F06,1050
406,CHD4,P07,F07,878
407,HCLS1,P07,F08,864
408,neg,P07,F09,864
409,GTF3C2,P07,F10,933
410,RBPJ,P07,F11,1051
411,Pos,P07,G02,1736
412,ID4,P07,G03,794
413,GTF3C2,P07,G04,1091
414,GTF3C1,P07,G05,1296
415,IKBKB,P07,G06,691
416,HTT,P07,G07,971
417,Ebf1,P07,G08,1069
418,IFI16,P07,G09,968
419,HCFC1,P07,G10,845
420,ID3,P07,G11,848
421,neg,P08,B02,1269
422,ERCC8,P08,B03,1279
423,CREBL2,P08,B04,1208
424,HDAC2,P08,B05,1019
425,UBE2K,P08,B06,1188
426,BPTF,P08,B07,919
427,ILF2,P08,B08,958
428,IRF1,P08,B09,896
429,Ebf1,P08,B10,1113
430,CREBBP,P08,B11,964
431,Pos,P08,C02,2012
432,ING1,P08,C03,1132
433,ILF2,P08,C04,1194
434,BPTF,P08,C05,1108
435,HIF1A,P08,C06,1014
436,CREB1,P08,C07,661
437,ERCC8,P08,C08,978
438,ING1,P08,C09,757
439,FOXK2,P08,C10,807
440,neg,P08,C11,895
441,neg,P08,D02,1231
442,HIF1A,P08,D03,1343
443,UBE2K,P08,D04,1640
444,FABP4,P08,D05,1143
445,neg,P08,D06,919
446,IRF1,P08,D07,962
447,ATF2,P08,D08,853
448,KLF6,P08,D09,837
449,HDAC2,P08,D10,572
450,ILF3,P08,D11,837
451,Pos,P08,E02,1972
452,CREB1,P08,E03,1377
453,CREBL2,P08,E04,1219
454,Ebf1,P08,E05,1331
455,KLF6,P08,E06,938
456,ERCC8,P08,E07,932
457,ILF3,P08,E08,853
458,UBE2K,P08,E09,1078
459,HIF1A,P08,E10,872
460,FABP4,P08,E11,898
461,neg,P08,F02,1418
462,ILF2,P08,F03,1286
463,IRF1,P08,F04,1185
464,CREBBP,P08,F05,1149
465,FOXK2,P08,F06,896
466,ING1,P08,F07,720
467,CREBL2,P08,F08,758
468,neg,P08,F09,786
469,ATF2,P08,F10,730
470,FOXK2,P08,F11,767
471,Pos,P08,G02,2160
472,FABP4,P08,G03,1434
473,ATF2,P08,G04,1270
474,KLF6,P08,G05,985
475,ILF3,P08,G06,956
476,HDAC2,P08,G07,849
477,Ebf1,P08,G08,985
478,BPTF,P08,G09,743
479,CREBBP,P08,G10,732
480,CREB1,P08,G11,1087
481,neg,P09,B02,1351
482,IRF2,P09,B03,1158
483,MBD1,P09,B04,1206
484,MDM2,P09,B05,749
485,SREBF2,P09,B06,805
486,MAZ,P09,B07,759
487,PSMD9,P09,B08,688
488,SRF,P09,B09,854
489,Ebf1,P09,B10,1068
490,MAX,P09,B11,1125
491,Pos,P09,C02,1837
492,PTGER3,P09,C03,886
493,PSMD9,P09,C04,705
494,MAZ,P09,C05,1173
495,SREBF1,P09,C06,870
496,NME2,P09,C07,1055
497,IRF2,P09,C08,1079
498,PTGER3,P09,C09,830
499,NPAS2,P09,C10,848
500,neg,P09,C11,825
501,neg,P09,D02,1043
502,SREBF1,P09,D03,893
503,SREBF2,P09,D04,824
504,CNOT2,P09,D05,757
505,neg,P09,D06,910
506,SRF,P09,D07,905
507,MAF,P09,D08,804
508,SMAD6,P09,D09,996
509,MDM2,P09,D10,558
510,PSMD10,P09,D11,951
511,Pos,P09,E02,1686
512,NME2,P09,E03,891
513,MBD1,P09,E04,1127
514,Ebf1,P09,E05,1152
515,SMAD6,P09,E06,924
516,IRF2,P09,E07,1192
517,PSMD10,P09,E08,1141
518,SREBF2,P09,E09,820
519,SREBF1,P09,E10,747
520,CNOT2,P09,E11,711
521,neg,P09,F02,1073
522,PSMD9,P09,F03,801
523,SRF,P09,F04,1058
524,MAX,P09,F05,758
525,NPAS2,P09,F06,871
526,PTGER3,P09,F07,917
527,MBD1,P09,F08,1060
528,neg,P09,F09,925
529,MAF,P09,F10,768
530,NPAS2,P09,F11,796
531,Pos,P09,G02,1992
532,CNOT2,P09,G03,764
533,MAF,P09,G04,779
534,SMAD6,P09,G05,1039
535,PSMD10,P09,G06,916
536,MDM2,P09,G07,656
537,Ebf1,P09,G08,982
538,MAZ,P09,G09,962
539,MAX,P09,G10,903
540,NME2,P09,G11,952
541,neg,P10,B02,1126
542,PTMA,P10,B03,1295
543,NPM1,P10,B04,1036
544,MEF2A,P10,B05,873
545,PA2G4,P10,B06,918
546,MECP2,P10,B07,847
547,MEF2C,P10,B08,755
548,RB1,P10,B09,802
549,Ebf1,P10,B10,983
550,STAT3,P10,B11,1014
551,Pos,P10,C02,1564
552,MEN1,P10,C03,866
553,MEF2C,P10,C04,775
554,MECP2,P10,C05,1009
555,MEIS1,P10,C06,548
556,RARA,P10,C07,848
557,PTMA,P10,C08,940
558,MEN1,P10,C09,917
559,MEF2BNB-MEF2B,P10,C10,1041
560,neg,P10,C11,878
561,neg,P10,D02,856
562,MEIS1,P10,D03,746
563,PA2G4,P10,D04,899
564,STAT2,P10,D05,705
565,neg,P10,D06,894
566,RB1,P10,D07,921
567,STAT1,P10,D08,953
568,PURA,P10,D09,952
569,MEF2A,P10,D10,741
570,YBX1,P10,D11,921
571,Pos,P10,E02,1384
572,RARA,P10,E03,840
573,NPM1,P10,E04,938
574,Ebf1,P10,E05,1058
575,PURA,P10,E06,1270
576,PTMA,P10,E07,1064
577,YBX1,P10,E08,816
578,PA2G4,P10,E09,892
579,MEIS1,P10,E10,868
580,STAT2,P10,E11,753
581,neg,P10,F02,989
582,MEF2C,P10,F03,737
583,RB1,P10,F04,1059
584,STAT3,P10,F05,880
585,MEF2BNB-MEF2B,P10,F06,1086
586,MEN1,P10,F07,903
587,NPM1,P10,F08,986
588,neg,P10,F09,751
589,STAT1,P10,F10,869
590,MEF2BNB-MEF2B,P10,F11,1042
591,Pos,P10,G02,1561
592,STAT2,P10,G03,576
593,STAT1,P10,G04,1047
594,PURA,P10,G05,1127
595,YBX1,P10,G06,811
596,MEF2A,P10,G07,780
597,Ebf1,P10,G08,916
598,MECP2,P10,G09,878
599,STAT3,P10,G10,900
600,RARA,P10,G11,993
601,neg,P11,B02,1123
602,STAT5A,P11,B03,1068
603,SUPT5H,P11,B04,890
604,RELB,P11,B05,1019
605,MITF,P11,B06,912
606,RELA,P11,B07,674
607,REST,P11,B08,935
608,MLL,P11,B09,834
609,Ebf1,P11,B10,870
610,SUPT4H1,P11,B11,1004
611,Pos,P11,C02,1452
612,TAF1,P11,C03,751
613,REST,P11,C04,780
614,RELA,P11,C05,636
615,TRIM27,P11,C06,917
616,STAT5B,P11,C07,731
617,STAT5A,P11,C08,941
618,TAF1,P11,C09,790
619,SUPT6H,P11,C10,1568
620,neg,P11,C11,849
621,neg,P11,D02,874
622,TRIM27,P11,D03,784
623,MITF,P11,D04,841
624,STAT6,P11,D05,702
625,neg,P11,D06,841
626,MLL,P11,D07,889
627,RBBP7,P11,D08,773
628,KDM5A,P11,D09,878
629,RELB,P11,D10,712
630,RFC1,P11,D11,939
631,Pos,P11,E02,1602
632,STAT5B,P11,E03,680
633,SUPT5H,P11,E04,971
634,Ebf1,P11,E05,887
635,KDM5A,P11,E06,1144
636,STAT5A,P11,E07,660
637,RFC1,P11,E08,944
638,MITF,P11,E09,704
639,TRIM27,P11,E10,910
640,STAT6,P11,E11,799
641,neg,P11,F02,1010
642,REST,P11,F03,962
643,MLL,P11,F04,970
644,SUPT4H1,P11,F05,1128
645,SUPT6H,P11,F06,2010
646,TAF1,P11,F07,782
647,SUPT5H,P11,F08,1073
648,neg,P11,F09,761
649,RBBP7,P11,F10,753
650,SUPT6H,P11,F11,2102
651,Pos,P11,G02,1802
652,STAT6,P11,G03,740
653,RBBP7,P11,G04,915
654,KDM5A,P11,G05,1038
655,RFC1,P11,G06,1073
656,RELB,P11,G07,948
657,Ebf1,P11,G08,1083
658,RELA,P11,G09,695
659,SUPT4H1,P11,G10,1073
660,STAT5B,P11,G11,867
661,neg,P12,B02,1148
662,MLLT1,P12,B03,1374
663,RING1,P12,B04,1014
664,TAF7,P12,B05,869
665,TAF12,P12,B06,866
666,RFX2,P12,B07,1091
667,TAF10,P12,B08,945
668,RNF4,P12,B09,735
669,Ebf1,P12,B10,937
670,TAF2,P12,B11,844
671,Pos,P12,C02,1475
672,BRD2,P12,C03,866
673,TAF10,P12,C04,802
674,RFX2,P12,C05,1242
675,TAF11,P12,C06,789
676,MLLT6,P12,C07,1058
677,MLLT1,P12,C08,1473
678,BRD2,P12,C09,745
679,RLF,P12,C10,804
680,neg,P12,C11,772
681,neg,P12,D02,890
682,TAF11,P12,D03,819
683,TAF12,P12,D04,778
684,PBX1,P12,D05,668
685,neg,P12,D06,825
686,RNF4,P12,D07,887
687,MNT,P12,D08,892
688,AFF1,P12,D09,820
